filename,path,acad_hits,prac_hits,stream_score,top_acad_terms,top_prac_terms
Mitchell - Business Cycles The Problem and Its Setting (Book 1928).pdf,Textbooks/Academic/Foundational/Mitchell - Business Cycles The Problem and Its Setting (Book 1928).pdf,0,0,0.0,,
Mitchell - Business Cycles Vol I (Book 1927).pdf,Textbooks/Academic/Foundational/Mitchell - Business Cycles Vol I (Book 1927).pdf,0,2,-1.0,,board of directors(2)
Mosak - General Equilibrium Theory in International Trade (Book 1944).pdf,Textbooks/Academic/Foundational/Mosak - General Equilibrium Theory in International Trade (Book 1944).pdf,41,0,1.0,"equilibrium(39), theorem(1), university press(1)",
Musgrave - The Theory of Public Finance (Book 1959).pdf,Textbooks/Academic/Foundational/Musgrave - The Theory of Public Finance (Book 1959).pdf,4,0,1.0,"equilibrium(2), this course(1), graduate students(1)",
Nordhaus - The Efficient Use of Energy Resources (Book 1979).pdf,Textbooks/Academic/Foundational/Nordhaus - The Efficient Use of Energy Resources (Book 1979).pdf,5,0,1.0,"equilibrium(2), university press(2), optimal(1)",
"Pareto, Vilfredo - Manuale di economia politica (Book 1906).pdf","Textbooks/Academic/Foundational/Pareto, Vilfredo - Manuale di economia politica (Book 1906).pdf",0,1,-1.0,,tip(1)
"Pascal, Blaise - Pensees (Book 1670).pdf","Textbooks/Academic/Foundational/Pascal, Blaise - Pensees (Book 1670).pdf",1,0,1.0,proposition(1),
"Perry, Arthur Latham - Principles of Political Economy (Book 1891).pdf","Textbooks/Academic/Foundational/Perry, Arthur Latham - Principles of Political Economy (Book 1891).pdf",1,3,-0.5,this course(1),"in practice(1), guide(1), broker(1)"
"Petty, William - Political Arithmetick (Book 1690).pdf","Textbooks/Academic/Foundational/Petty, William - Political Arithmetick (Book 1690).pdf",0,0,0.0,,
Pierry - General Theory of Value (Book 1926).pdf,Textbooks/Academic/Foundational/Pierry - General Theory of Value (Book 1926).pdf,2,1,0.3333,university press(2),CEO(1)
Pigou - The Economics of Welfare (Book 1920).pdf,Textbooks/Academic/Foundational/Pigou - The Economics of Welfare (Book 1920).pdf,0,0,0.0,,
Ricardo - On the Principles of Political Economy and Taxation (Book 1821).pdf,Textbooks/Academic/Foundational/Ricardo - On the Principles of Political Economy and Taxation (Book 1821).pdf,0,0,0.0,,
Ricardo - Principles of Political Economy and Taxation (Book 1817).pdf,Textbooks/Academic/Foundational/Ricardo - Principles of Political Economy and Taxation (Book 1817).pdf,0,2,-1.0,,"practical(1), guide(1)"
Ricardo J. Caballero - Hedging sudden stops & precautionary contractions (Book 2005).pdf,Textbooks/Academic/Foundational/Ricardo J. Caballero - Hedging sudden stops & precautionary contractions (Book 2005).pdf,5,0,1.0,"optimal(2), working paper(2), the model(1)",
Roos - Dynamic Economics (Book 1934).pdf,Textbooks/Academic/Foundational/Roos - Dynamic Economics (Book 1934).pdf,0,0,0.0,,
Roos - NRA Economic Planning (Book 1937).pdf,Textbooks/Academic/Foundational/Roos - NRA Economic Planning (Book 1937).pdf,1,2,-0.3333,proof(1),"guide(1), the reader will(1)"
Rostow - The Stages of Economic Growth (Book 1960).pdf,Textbooks/Academic/Foundational/Rostow - The Stages of Economic Growth (Book 1960).pdf,6,0,1.0,"university press(4), undergraduate(2)",
Rothenberg - Efficient Estimation with A Priori Information (Book 1973).pdf,Textbooks/Academic/Foundational/Rothenberg - Efficient Estimation with A Priori Information (Book 1973).pdf,13,3,0.625,"optimal(6), university press(3), proof(1), textbook(1), this course(1)","in practice(1), practical(1), the reader will(1)"
Rudin - Principles of Mathematical Analysis (Book 1976).pdf,Textbooks/Academic/Foundational/Rudin - Principles of Mathematical Analysis (Book 1976).pdf,12,0,1.0,"theorem(9), this course(2), proof(1)",
Samuelson - Foundations of Economic Analysis (Book 1947).pdf,Textbooks/Academic/Foundational/Samuelson - Foundations of Economic Analysis (Book 1947).pdf,22,0,1.0,"equilibrium(13), theorem(4), endogen(2), optimal(1), social welfare(1)",
Savage - The Foundations of Statistics (Book 1972).pdf,Textbooks/Academic/Foundational/Savage - The Foundations of Statistics (Book 1972).pdf,10,3,0.5385,"theorem(4), prerequisite(2), corollary(1), et al.(1), textbook(1)","in practice(1), practical(1), readers will(1)"
Savage - The Foundations of Statistics 2nd ed (Book 1972).pdf,Textbooks/Academic/Foundational/Savage - The Foundations of Statistics 2nd ed (Book 1972).pdf,6,3,0.3333,"prerequisite(2), theorem(1), corollary(1), et al.(1), textbook(1)","in practice(1), practical(1), readers will(1)"
Scarf - Computation of Economic Equilibria (Book 1973).pdf,Textbooks/Academic/Foundational/Scarf - Computation of Economic Equilibria (Book 1973).pdf,9,1,0.8,"equilibrium(4), university press(3), theorem(1), proof(1)",practical(1)
Schumpeter - Capitalism Socialism and Democracy (Book 1942).pdf,Textbooks/Academic/Foundational/Schumpeter - Capitalism Socialism and Democracy (Book 1942).pdf,1,3,-0.5,proposition(1),"practical(2), readers will(1)"
Scott Williamson - The moral hazard theory of corporate financial structure (Book 1979).pdf,Textbooks/Academic/Foundational/Scott Williamson - The moral hazard theory of corporate financial structure (Book 1979).pdf,3,0,1.0,"optimal(2), working paper(1)",
Shackle - Expectations in Economics (Book 1949).pdf,Textbooks/Academic/Foundational/Shackle - Expectations in Economics (Book 1949).pdf,1,0,1.0,university press(1),
Smith - The Wealth of Nations (Book 1776).pdf,Textbooks/Academic/Foundational/Smith - The Wealth of Nations (Book 1776).pdf,2,1,0.3333,"social welfare(1), this course(1)",practical(1)
Stanley M. Beck - Capital markets regulation (307S) (Book 1993).pdf,Textbooks/Academic/Foundational/Stanley M. Beck - Capital markets regulation (307S) (Book 1993).pdf,5,1,0.6667,"et al.(4), forthcoming(1)",insider(1)
"Tawney, R. H. - The Acquisitive Society (Book 1920).pdf","Textbooks/Academic/Foundational/Tawney, R. H. - The Acquisitive Society (Book 1920).pdf",1,12,-0.8462,this course(1),"practical(10), how to(1), in practice(1)"
Thomas Robert Malthus - The measure of value stated and illustrated (Book 1823).pdf,Textbooks/Academic/Foundational/Thomas Robert Malthus - The measure of value stated and illustrated (Book 1823).pdf,0,0,0.0,,
Tintner - The Variate Difference Method (Book 1940).pdf,Textbooks/Academic/Foundational/Tintner - The Variate Difference Method (Book 1940).pdf,4,0,1.0,"standard error(3), coefficient(1)",
Tirole - The Theory of Industrial Organization (Book 1988).pdf,Textbooks/Academic/Foundational/Tirole - The Theory of Industrial Organization (Book 1988).pdf,14,7,0.3333,"equilibrium(5), regression(4), optimal(2), proof(1), social welfare(1)","practical(3), case study(2), guide(1), straightforward(1)"
Tostlebe - Capital in Agriculture (Book 1957).pdf,Textbooks/Academic/Foundational/Tostlebe - Capital in Agriculture (Book 1957).pdf,5,1,0.6667,"equilibrium(1), we assume(1), textbook(1), this course(1), classroom(1)",how to(1)
"Trenchant, Jean - L'Arithmetique (Book 1602).pdf","Textbooks/Academic/Foundational/Trenchant, Jean - L'Arithmetique (Book 1602).pdf",0,0,0.0,,
Turgot - Reflections on the Formation and Distribution of Riches (Book 1766).pdf,Textbooks/Academic/Foundational/Turgot - Reflections on the Formation and Distribution of Riches (Book 1766).pdf,0,0,0.0,,
Ulmer - Capital in Transportation Communications and Public Utilities (Book 1960).pdf,Textbooks/Academic/Foundational/Ulmer - Capital in Transportation Communications and Public Utilities (Book 1960).pdf,1,0,1.0,proposition(1),
Veblen - The Theory of Business Enterprise (Book 1904).pdf,Textbooks/Academic/Foundational/Veblen - The Theory of Business Enterprise (Book 1904).pdf,2,0,1.0,this course(2),
Veblen - The Theory of the Leisure Class (Book 1924).pdf,Textbooks/Academic/Foundational/Veblen - The Theory of the Leisure Class (Book 1924).pdf,0,0,0.0,,
Viner - Studies in the Theory of International Trade (Book 1937).pdf,Textbooks/Academic/Foundational/Viner - Studies in the Theory of International Trade (Book 1937).pdf,0,0,0.0,,
Von Mises - Human Action (Book 1949).pdf,Textbooks/Academic/Foundational/Von Mises - Human Action (Book 1949).pdf,13,3,0.625,"equilibrium(8), university press(5)","how to(1), guide(1), retirement(1)"
"von Neumann, Morgenstern - Theory of Games and Economic Behavior (Book 1944).pdf","Textbooks/Academic/Foundational/von Neumann, Morgenstern - Theory of Games and Economic Behavior (Book 1944).pdf",11,0,1.0,"theorem(5), university press(3), proof(2), American Economic Review(1)",
"Walras, Leon - Elements d'economie politique pure (Book 1874).pdf","Textbooks/Academic/Foundational/Walras, Leon - Elements d'economie politique pure (Book 1874).pdf",0,0,0.0,,
Wicksell - Interest and Prices (Book 1898).pdf,Textbooks/Academic/Foundational/Wicksell - Interest and Prices (Book 1898).pdf,0,1,-1.0,,practical(1)
Williams - The Theory of Investment Value (Book 1938).pdf,Textbooks/Academic/Foundational/Williams - The Theory of Investment Value (Book 1938).pdf,1,3,-0.5,corollary(1),"practical(1), guide(1), case study(1)"
"Alexander, Gordon J. - Fundamentals Of Investments (Book 1989).pdf","Textbooks/Academic/Investments/Alexander, Gordon J. - Fundamentals Of Investments (Book 1989).pdf",0,0,0.0,,
"Amling, Frederick - Investments An Introduction to Analysis and Management (Book 1965).pdf","Textbooks/Academic/Investments/Amling, Frederick - Investments An Introduction to Analysis and Management (Book 1965).pdf",2,4,-0.3333,"this course(1), prerequisite(1)","practical(1), portfolio manager(1), the reader will(1), client(1)"
Andrew - Missed Fortune 101 (Book 2005).pdf,Textbooks/Academic/Investments/Andrew - Missed Fortune 101 (Book 2005).pdf,0,4,-1.0,,"retirement(2), guide(1), your investment(1)"
Andrew D. Seidel - Commodities trading (Book 1983).pdf,Textbooks/Academic/Investments/Andrew D. Seidel - Commodities trading (Book 1983).pdf,0,2,-1.0,,"guide(1), retirement(1)"
Annette Thau - The Bond Book (Book 1991).pdf,Textbooks/Academic/Investments/Annette Thau - The Bond Book (Book 1991).pdf,0,3,-1.0,,"how to(1), guide(1), a guide for(1)"
Arrow - Aspects of the Theory of Risk-Bearing (Book 1965).pdf,Textbooks/Academic/Investments/Arrow - Aspects of the Theory of Risk-Bearing (Book 1965).pdf,2,1,0.3333,equilibrium(2),practical(1)
Bayard Taylor Hainer - A treatise on the modern law of municipal securities (Book 1898).pdf,Textbooks/Academic/Investments/Bayard Taylor Hainer - A treatise on the modern law of municipal securities (Book 1898).pdf,0,0,0.0,,
Bernstein - The Investors Manifesto (Book 2010).pdf,Textbooks/Academic/Investments/Bernstein - The Investors Manifesto (Book 2010).pdf,0,4,-1.0,,"how to(1), your portfolio(1), retirement(1), financial planning(1)"
Board of Governors of the Federal Reserve System (U.S.) - Joint Treasury-Federal Reserve study of the U. S. Government securities market (Book 1970).pdf,Textbooks/Academic/Investments/Board of Governors of the Federal Reserve System (U.S.) - Joint Treasury-Federal Reserve study of the U. S. Government securities market (Book 1970).pdf,0,0,0.0,,
"Bodie, Kane, Marcus - Investments (Book 2014).pdf","Textbooks/Academic/Investments/Bodie, Kane, Marcus - Investments (Book 2014).pdf",11,9,0.1,"end-of-chapter(6), equilibrium(3), optimal(1), empirical evidence(1)","personal finance(3), financial planning(2), case study(1), investment banker(1), retirement(1)"
Bolton Hall - Thrift (Book 1916).pdf,Textbooks/Academic/Investments/Bolton Hall - Thrift (Book 1916).pdf,0,0,0.0,,
Boston Municipal Research Bureau - Boston's fy00 budget (Book 1999).pdf,Textbooks/Academic/Investments/Boston Municipal Research Bureau - Boston's fy00 budget (Book 1999).pdf,1,0,1.0,this course(1),
Brealey - An Introduction to Risk and Return from Common Stocks (Book 1969).pdf,Textbooks/Academic/Investments/Brealey - An Introduction to Risk and Return from Common Stocks (Book 1969).pdf,0,1,-1.0,,how to(1)
Brennan - Patterns of Market Behavior (Book 1965).pdf,Textbooks/Academic/Investments/Brennan - Patterns of Market Behavior (Book 1965).pdf,3,0,1.0,"optimal(1), this course(1), university press(1)",
Briston - The Stock Exchange and Investment Analysis (Book 1970).pdf,Textbooks/Academic/Investments/Briston - The Stock Exchange and Investment Analysis (Book 1970).pdf,1,0,1.0,graduate students(1),
Brooks - The Go-Go Years (Book 1973).pdf,Textbooks/Academic/Investments/Brooks - The Go-Go Years (Book 1973).pdf,0,4,-1.0,,Wall Street(4)
Browne - The Little Book of Value Investing (Book 2007).pdf,Textbooks/Academic/Investments/Browne - The Little Book of Value Investing (Book 2007).pdf,1,11,-0.8333,this course(1),"how to(4), Wall Street(2), your money(2), CEO(1), you will learn(1)"
Bruce Robert Kuhlman - Convertible bond issues and equity price impacts (Book 1988).pdf,Textbooks/Academic/Investments/Bruce Robert Kuhlman - Convertible bond issues and equity price impacts (Book 1988).pdf,2,0,1.0,"optimal(1), literature review(1)",
Burton M. Woodward - The Dow theory and the management of investments (Book 1968).pdf,Textbooks/Academic/Investments/Burton M. Woodward - The Dow theory and the management of investments (Book 1968).pdf,1,0,1.0,t-statistic(1),
"Burton, Corner - Investment and Unit Trusts in Britain and America (Book 1968).pdf","Textbooks/Academic/Investments/Burton, Corner - Investment and Unit Trusts in Britain and America (Book 1968).pdf",0,0,0.0,,
"Campbell, Lo, MacKinlay - The Econometrics of Financial Markets (Book 1997).pdf","Textbooks/Academic/Investments/Campbell, Lo, MacKinlay - The Econometrics of Financial Markets (Book 1997).pdf",8,0,1.0,"optimal(2), regression(2), empirical evidence(2), equilibrium(1), university press(1)",
Castelli - The Theory of Options in Stocks and Shares (Book 1877).pdf,Textbooks/Academic/Investments/Castelli - The Theory of Options in Stocks and Shares (Book 1877).pdf,0,0,0.0,,
CFA Research Seminar - Investment Company Portfolio Management (Book 1970).pdf,Textbooks/Academic/Investments/CFA Research Seminar - Investment Company Portfolio Management (Book 1970).pdf,0,4,-1.0,,"portfolio manager(2), practical(1), fund manager(1)"
"Charles Y. Mann - Convertible bond call, call delay, and the value of call underwriting (Book 1994).pdf","Textbooks/Academic/Investments/Charles Y. Mann - Convertible bond call, call delay, and the value of call underwriting (Book 1994).pdf",3,2,0.2,"optimal(2), regression(1)",investment banker(2)
Clendenin - Introduction to Investments (Book 1969).pdf,Textbooks/Academic/Investments/Clendenin - Introduction to Investments (Book 1969).pdf,7,1,0.75,"textbook(3), this course(2), we find that(1), instructor(1)",practical(1)
Cohen - Investment Analysis and Portfolio Management (Book 1967).pdf,Textbooks/Academic/Investments/Cohen - Investment Analysis and Portfolio Management (Book 1967).pdf,3,3,0.0,"t-statistic(1), we assume(1), this course(1)","tip(1), your money(1), your investment(1)"
Courtney Smith - Commodity spreads (Book 1982).pdf,Textbooks/Academic/Investments/Courtney Smith - Commodity spreads (Book 1982).pdf,0,0,0.0,,
Cowles - Common Stock Indexes 1871-1937 (Book 1938).pdf,Textbooks/Academic/Investments/Cowles - Common Stock Indexes 1871-1937 (Book 1938).pdf,0,0,0.0,,
"Cox, Garfield V - An Appraisal of American Business Forecasts (Book 1929).pdf","Textbooks/Academic/Investments/Cox, Garfield V - An Appraisal of American Business Forecasts (Book 1929).pdf",0,0,0.0,,
"Cox, John C - Options Markets (Book 1985).pdf","Textbooks/Academic/Investments/Cox, John C - Options Markets (Book 1985).pdf",2,3,-0.2,"empirical evidence(1), the model(1)",how to(3)
"Cox, Rubinstein - Options Markets (Book 1985).pdf","Textbooks/Academic/Investments/Cox, Rubinstein - Options Markets (Book 1985).pdf",3,6,-0.3333,"empirical evidence(1), the model(1), we derive(1)","how to(4), practical(2)"
"Cragg, Malkiel - Expectations and the Structure of Share Prices (Book 1982).pdf","Textbooks/Academic/Investments/Cragg, Malkiel - Expectations and the Structure of Share Prices (Book 1982).pdf",1,5,-0.6667,proposition(1),"board of directors(3), in practice(1), practical(1)"
Damodaran - Damodaran on Valuation (Book 2006).pdf,Textbooks/Academic/Investments/Damodaran - Damodaran on Valuation (Book 2006).pdf,1,1,0.0,empirical evidence(1),financial advisor(1)
Damodaran - Investment Valuation (Book 2012).pdf,Textbooks/Academic/Investments/Damodaran - Investment Valuation (Book 2012).pdf,2,1,0.3333,"empirical evidence(1), the model(1)",best practice(1)
Damodaran - The Dark Side of Valuation (Book 2018).pdf,Textbooks/Academic/Investments/Damodaran - The Dark Side of Valuation (Book 2018).pdf,0,0,0.0,,
David Allen Ziebart - Trading activity and the reliability of target betas (Book 1985).pdf,Textbooks/Academic/Investments/David Allen Ziebart - Trading activity and the reliability of target betas (Book 1985).pdf,4,0,1.0,"optimal(1), coefficient(1), working paper(1), empirical evidence(1)",
David Cohen - Price effects of financial futures trading (Book 1982).pdf,Textbooks/Academic/Investments/David Cohen - Price effects of financial futures trading (Book 1982).pdf,3,0,1.0,"the model(2), regression(1)",
"Dewey, T. Henry - A Treatise on Contracts for Future Delivery (Book 1886).pdf","Textbooks/Academic/Investments/Dewey, T. Henry - A Treatise on Contracts for Future Delivery (Book 1886).pdf",0,0,0.0,,
DiLiddo - Stocks Strategies Common Sense (Book 1997).pdf,Textbooks/Academic/Investments/DiLiddo - Stocks Strategies Common Sense (Book 1997).pdf,0,9,-1.0,,"how to(5), your portfolio(1), your money(1), your investment(1), insider(1)"
"Dimson, Marsh, Staunton - Triumph of the Optimists (Book 2002).pdf","Textbooks/Academic/Investments/Dimson, Marsh, Staunton - Triumph of the Optimists (Book 2002).pdf",8,2,0.6,university press(8),"guide(1), case study(1)"
"Eiteman, Eiteman - Leading World Stock Exchanges (Book 1964).pdf","Textbooks/Academic/Investments/Eiteman, Eiteman - Leading World Stock Exchanges (Book 1964).pdf",0,12,-1.0,,broker(12)
"Elton, Edwin J - Investments (Book 1999).pdf","Textbooks/Academic/Investments/Elton, Edwin J - Investments (Book 1999).pdf",2,0,1.0,Review of Financial Studies(2),
"Emery, Henry - Speculation on the Stock and Produce Exchanges (Book 1896).pdf","Textbooks/Academic/Investments/Emery, Henry - Speculation on the Stock and Produce Exchanges (Book 1896).pdf",0,0,0.0,,
Ernest Brown Skinner - The mathematical theory of investment (Book 1913).pdf,Textbooks/Academic/Investments/Ernest Brown Skinner - The mathematical theory of investment (Book 1913).pdf,3,4,-0.1429,"this course(2), textbook(1)","practical(2), guide(1), the reader will(1)"
Fama - Foundations of Finance (Book 1976).pdf,Textbooks/Academic/Investments/Fama - Foundations of Finance (Book 1976).pdf,5,0,1.0,"coefficient(2), equilibrium(1), regression(1), the model(1)",
Fama - Foundations of Finance AFA chapters (Book 1976).pdf,Textbooks/Academic/Investments/Fama - Foundations of Finance AFA chapters (Book 1976).pdf,32,1,0.9394,"equilibrium(16), the model(7), empirical evidence(3), coefficient(2), regression(1)",real-world(1)
Feldstein - Inflation Tax Rules and Capital Formation (Book 1983).pdf,Textbooks/Academic/Investments/Feldstein - Inflation Tax Rules and Capital Formation (Book 1983).pdf,1,2,-0.3333,equilibrium(1),board of directors(2)
"Fischer, Stanley - Call Option Pricing When the Exercise Price Is Uncertain (Book 1977).pdf","Textbooks/Academic/Investments/Fischer, Stanley - Call Option Pricing When the Exercise Price Is Uncertain (Book 1977).pdf",1,0,1.0,working paper(1),
Folke Olander - Psychological approaches to the study of saving (Book 1970).pdf,Textbooks/Academic/Investments/Folke Olander - Psychological approaches to the study of saving (Book 1970).pdf,0,0,0.0,,
Frank K. Reilly - The many uses of bond duration (Book 1979).pdf,Textbooks/Academic/Investments/Frank K. Reilly - The many uses of bond duration (Book 1979).pdf,2,2,0.0,working paper(2),portfolio manager(2)
"Franklin Eliot Felton - The Secrets of Internal Revenue Exposing the Whiskey Ring, Gold Ring, and (Book 1870).pdf","Textbooks/Academic/Investments/Franklin Eliot Felton - The Secrets of Internal Revenue Exposing the Whiskey Ring, Gold Ring, and (Book 1870).pdf",0,0,0.0,,
Fried - The Speculative Merits of Common Stock Warrants (Book 1961).pdf,Textbooks/Academic/Investments/Fried - The Speculative Merits of Common Stock Warrants (Book 1961).pdf,2,10,-0.6667,this course(2),"client(5), Wall Street(2), how to(1), in practice(1), the reader will(1)"
Friedman - A Theory of the Consumption Function (Book 1957).pdf,Textbooks/Academic/Investments/Friedman - A Theory of the Consumption Function (Book 1957).pdf,4,2,0.3333,"regression(1), empirical evidence(1), textbook(1), university press(1)",board of directors(2)
Gardner - The Motley Fool You Have More Than You Think (Book 2001).pdf,Textbooks/Academic/Investments/Gardner - The Motley Fool You Have More Than You Think (Book 2001).pdf,1,7,-0.75,proof(1),"how to(2), guide(2), personal finance(2), Wall Street(1)"
Gerald Douglas Gay - Hedging against commodity price inflation (Book 1980).pdf,Textbooks/Academic/Investments/Gerald Douglas Gay - Hedging against commodity price inflation (Book 1980).pdf,6,0,1.0,"equilibrium(4), regression(1), literature review(1)",
Gilbert Haller - The Haller theory of stock market trends (Book 1965).pdf,Textbooks/Academic/Investments/Gilbert Haller - The Haller theory of stock market trends (Book 1965).pdf,3,0,1.0,coefficient(3),
"Graham, Dodd - Security Analysis 2nd ed (Book 1940).pdf","Textbooks/Academic/Investments/Graham, Dodd - Security Analysis 2nd ed (Book 1940).pdf",0,3,-1.0,,"practical(1), Wall Street(1), fund manager(1)"
"Graham, Dodd - Security Analysis 2nd ed DLI scan (Book 1940).pdf","Textbooks/Academic/Investments/Graham, Dodd - Security Analysis 2nd ed DLI scan (Book 1940).pdf",0,3,-1.0,,"practical(1), Wall Street(1), fund manager(1)"
Greenblatt - The Little Book That Beats the Market (Book 2006).pdf,Textbooks/Academic/Investments/Greenblatt - The Little Book That Beats the Market (Book 2006).pdf,0,5,-1.0,,"step by step(2), how to(1), practical(1), fund manager(1)"
Greenblatt - You Can Be a Stock Market Genius (Book 1999).pdf,Textbooks/Academic/Investments/Greenblatt - You Can Be a Stock Market Genius (Book 1999).pdf,0,3,-1.0,,"trader(2), Wall Street(1)"
"Harris trust & savings bank, Chicago. - Why bonds are safe investments (Book 1920).pdf","Textbooks/Academic/Investments/Harris trust & savings bank, Chicago. - Why bonds are safe investments (Book 1920).pdf",0,0,0.0,,
Hazel Johnson - The relationship between below-target returns and interperiod asset return (Book 1987).pdf,Textbooks/Academic/Investments/Hazel Johnson - The relationship between below-target returns and interperiod asset return (Book 1987).pdf,3,0,1.0,"coefficient(2), literature review(1)",
Henry J. Claycamp - The composition of consumer savings portfolios (Book 1963).pdf,Textbooks/Academic/Investments/Henry J. Claycamp - The composition of consumer savings portfolios (Book 1963).pdf,1,0,1.0,this course(1),
"Hester, Tobin - Financial Markets and Economic Activity (Book 1967).pdf","Textbooks/Academic/Investments/Hester, Tobin - Financial Markets and Economic Activity (Book 1967).pdf",10,2,0.6667,"equilibrium(4), optimal(3), endogen(1), Quarterly Journal(1), graduate students(1)",how to(2)
"Hester, Tobin - Risk Aversion and Portfolio Choice (Book 1967).pdf","Textbooks/Academic/Investments/Hester, Tobin - Risk Aversion and Portfolio Choice (Book 1967).pdf",10,3,0.5385,"equilibrium(4), optimal(3), endogen(1), Quarterly Journal(1), graduate students(1)","how to(2), guide(1)"
"Hester, Tobin - Studies of Portfolio Behavior (Book 1967).pdf","Textbooks/Academic/Investments/Hester, Tobin - Studies of Portfolio Behavior (Book 1967).pdf",10,3,0.5385,"equilibrium(4), optimal(3), endogen(1), Quarterly Journal(1), graduate students(1)","how to(2), guide(1)"
Hickman - Corporate Bond Quality and Investor Experience (Book 1958).pdf,Textbooks/Academic/Investments/Hickman - Corporate Bond Quality and Investor Experience (Book 1958).pdf,4,2,0.3333,university press(4),board of directors(2)
Hickman - Statistical Measures of Corporate Bond Financing (Book 1960).pdf,Textbooks/Academic/Investments/Hickman - Statistical Measures of Corporate Bond Financing (Book 1960).pdf,3,2,0.2,university press(3),board of directors(2)
Hickman - The Volume of Corporate Bond Financing Since 1900 (Book 1953).pdf,Textbooks/Academic/Investments/Hickman - The Volume of Corporate Bond Financing Since 1900 (Book 1953).pdf,5,2,0.4286,university press(5),board of directors(2)
Hull - Introduction to Futures and Options Markets (Book 1991).pdf,Textbooks/Academic/Investments/Hull - Introduction to Futures and Options Markets (Book 1991).pdf,18,1,0.8947,"further reading(13), proof(2), instructor(2), undergraduate(1)",in practice(1)
Hull - Options Futures and Other Derivatives 9th ed (Book 2015).pdf,Textbooks/Academic/Investments/Hull - Options Futures and Other Derivatives 9th ed (Book 2015).pdf,11,0,1.0,"further reading(9), lemma(1), textbook(1)",
Ian F. G. Baxter - International finance and investment (Book 1984).pdf,Textbooks/Academic/Investments/Ian F. G. Baxter - International finance and investment (Book 1984).pdf,0,0,0.0,,
Ilmanen - Expected Returns (Book 2011).pdf,Textbooks/Academic/Investments/Ilmanen - Expected Returns (Book 2011).pdf,2,9,-0.6364,"endogen(1), empirical evidence(1)","guide(5), case study(2), how to(1), money manager(1)"
Jarvis Means Morse - Paying for a World War (Book 1971).pdf,Textbooks/Academic/Investments/Jarvis Means Morse - Paying for a World War (Book 1971).pdf,0,1,-1.0,,Wall Street(1)
Jiler - How Charts Can Help You in the Stock Market (Book 1962).pdf,Textbooks/Academic/Investments/Jiler - How Charts Can Help You in the Stock Market (Book 1962).pdf,1,2,-0.3333,this course(1),"practical(1), Wall Street(1)"
John C Pattison - Financial markets and foreign ownership (Book 1978).pdf,Textbooks/Academic/Investments/John C Pattison - Financial markets and foreign ownership (Book 1978).pdf,0,1,-1.0,,case study(1)
John Todd - Public sector pension funds and the capital markets (Book 1987).pdf,Textbooks/Academic/Investments/John Todd - Public sector pension funds and the capital markets (Book 1987).pdf,0,0,0.0,,
Kenneth P. Thomas - Capital beyond borders (Book 1992).pdf,Textbooks/Academic/Investments/Kenneth P. Thomas - Capital beyond borders (Book 1992).pdf,0,0,0.0,,
"Kolb, Robert W. - Investments (Book 1989).pdf","Textbooks/Academic/Investments/Kolb, Robert W. - Investments (Book 1989).pdf",5,3,0.25,"instructor(4), this course(1)","in practice(1), real-world(1), investment banker(1)"
Lagerquist - Investment Analysis Fundamentals in the Analysis of Investment Securities (Book 1922).pdf,Textbooks/Academic/Investments/Lagerquist - Investment Analysis Fundamentals in the Analysis of Investment Securities (Book 1922).pdf,0,2,-1.0,,"in practice(1), practical(1)"
Laixun Zhao - Essays on direct foreign investment in unionized markets (Book 1993).pdf,Textbooks/Academic/Investments/Laixun Zhao - Essays on direct foreign investment in unionized markets (Book 1993).pdf,12,0,1.0,"endogen(6), equilibrium(3), optimal(2), et al.(1)",
"Larson, Ron - The Mathematics Of Investment Mathematics For Everyd (Book 1997).pdf","Textbooks/Academic/Investments/Larson, Ron - The Mathematics Of Investment Mathematics For Everyd (Book 1997).pdf",1,9,-0.8,instructor(1),"how to(4), practical(2), board of directors(2), guide(1)"
Leonard A. Jones - A treatise on the law of railroad and other corporate securities (Book 1879).pdf,Textbooks/Academic/Investments/Leonard A. Jones - A treatise on the law of railroad and other corporate securities (Book 1879).pdf,0,0,0.0,,
Levis Duval McCullers - Convertible securities - debt or equity (Book 1969).pdf,Textbooks/Academic/Investments/Levis Duval McCullers - Convertible securities - debt or equity (Book 1969).pdf,1,0,1.0,this course(1),
"Levy, Haim; Sarnat, Marshall - Investment and Portfolio Analysis (Book 1972).pdf","Textbooks/Academic/Investments/Levy, Haim; Sarnat, Marshall - Investment and Portfolio Analysis (Book 1972).pdf",2,5,-0.4286,"et al.(1), classroom(1)","case study(4), practical(1)"
Lo (ed.) - Industrial Organization of the Securities Industry (Book 1996).pdf,Textbooks/Academic/Investments/Lo (ed.) - Industrial Organization of the Securities Industry (Book 1996).pdf,1,4,-0.6,social welfare(1),"broker(3), portfolio manager(1)"
Lo - Adaptive Markets (Book 2017).pdf,Textbooks/Academic/Investments/Lo - Adaptive Markets (Book 2017).pdf,5,1,0.6667,university press(5),CEO(1)
Macaulay - Bond Yields and Stock Prices in the United States since 1856 (Book 1938).pdf,Textbooks/Academic/Investments/Macaulay - Bond Yields and Stock Prices in the United States since 1856 (Book 1938).pdf,1,2,-0.3333,this course(1),board of directors(2)
Macaulay - The Movements of Interest Rates Bond Yields and Stock Prices (Book 1938).pdf,Textbooks/Academic/Investments/Macaulay - The Movements of Interest Rates Bond Yields and Stock Prices (Book 1938).pdf,0,0,0.0,,
