filename,path,author,title,year,npv_hits,eps_hits,score,top_npv_terms,top_eps_terms
Jevons - The Principles of Economics (Book 1905).pdf,Textbooks/Academic/Foundational/Jevons - The Principles of Economics (Book 1905).pdf,Jevons,The Principles of Economics,1905,1,4,-0.6,present value(1),"intrinsic value(3), roe(1)"
Jevons - The Theory of Political Economy (Book 1871).pdf,Textbooks/Academic/Foundational/Jevons - The Theory of Political Economy (Book 1871).pdf,Jevons,The Theory of Political Economy,1871,0,1,-1.0,,intrinsic value(1)
John Maynard Keynes - Indian currency and finance (Book 1913).pdf,Textbooks/Academic/Foundational/John Maynard Keynes - Indian currency and finance (Book 1913).pdf,John Maynard Keynes,Indian currency and finance,1913,0,4,-1.0,,"roe(1), accretive/accretion(1), book value(1), par value(1)"
"Kahneman, Daniel - Thinking Fast and Slow (Book 2011).pdf","Textbooks/Academic/Foundational/Kahneman, Daniel - Thinking Fast and Slow (Book 2011).pdf","Kahneman, Daniel",Thinking Fast and Slow,2011,27,0,1.0,"sunk cost(19), markowitz(3), expected return(2), efficient market(1), random walk(1)",
Katona - Price Control and Business (Book 1945).pdf,Textbooks/Academic/Foundational/Katona - Price Control and Business (Book 1945).pdf,Katona,Price Control and Business,1945,0,3,-1.0,,"intrinsic value(2), roe(1)"
Keynes - A Revision of the Treaty (Book 1922).pdf,Textbooks/Academic/Foundational/Keynes - A Revision of the Treaty (Book 1922).pdf,Keynes,A Revision of the Treaty,1922,4,1,0.6,present value(4),par value(1)
Keynes - A Tract on Monetary Reform (Book 1923).pdf,Textbooks/Academic/Foundational/Keynes - A Tract on Monetary Reform (Book 1923).pdf,Keynes,A Tract on Monetary Reform,1923,3,5,-0.25,present value(3),"accretive/accretion(1), earning power(1), relative valuation(1), intrinsic value(1), par value(1)"
Keynes - A Treatise on Money Vol I (Book 1930).pdf,Textbooks/Academic/Foundational/Keynes - A Treatise on Money Vol I (Book 1930).pdf,Keynes,A Treatise on Money Vol I,1930,0,6,-1.0,,"intrinsic value(4), earning power(1), margin of safety(1)"
Keynes - A Treatise on Money Vol II (Book 1930).pdf,Textbooks/Academic/Foundational/Keynes - A Treatise on Money Vol II (Book 1930).pdf,Keynes,A Treatise on Money Vol II,1930,0,7,-1.0,,"accretive/accretion(3), traditional theory(1), intrinsic value(1), dividend yield(1), earning capacity(1)"
Keynes - A Treatise on Probability (Book 1921).pdf,Textbooks/Academic/Foundational/Keynes - A Treatise on Probability (Book 1921).pdf,Keynes,A Treatise on Probability,1921,0,0,0.0,,
Keynes - The General Theory of Employment Interest and Money (Book 1936).pdf,Textbooks/Academic/Foundational/Keynes - The General Theory of Employment Interest and Money (Book 1936).pdf,Keynes,The General Theory of Employment Interest and Money,1936,11,11,0.0,"present value(6), present worth(2), discounted value(2), risk premium(1)","rate of return(7), traditional theory(3), return on capital(1)"
Klein - Economic Fluctuations in the United States 1921-1941 (Book 1950).pdf,Textbooks/Academic/Foundational/Klein - Economic Fluctuations in the United States 1921-1941 (Book 1950).pdf,Klein,Economic Fluctuations in the United States 1921-1941,1950,0,4,-1.0,,"roe(2), return on capital(1), traditional theory(1)"
Knight - Risk Uncertainty and Profit (Book 1921).pdf,Textbooks/Academic/Foundational/Knight - Risk Uncertainty and Profit (Book 1921).pdf,Knight,Risk Uncertainty and Profit,1921,3,19,-0.7273,"present value(2), present worth(1)","rate of return(6), earning power(5), capitalization rate(4), return on capital(1), accretive/accretion(1)"
Koopmans (ed.) - Activity Analysis of Production and Allocation (Book 1951).pdf,Textbooks/Academic/Foundational/Koopmans (ed.) - Activity Analysis of Production and Allocation (Book 1951).pdf,Koopmans (ed.),Activity Analysis of Production and Allocation,1951,6,0,1.0,opportunity cost(6),
Koopmans (ed.) - Statistical Inference in Dynamic Economic Models (Book 1950).pdf,Textbooks/Academic/Foundational/Koopmans (ed.) - Statistical Inference in Dynamic Economic Models (Book 1950).pdf,Koopmans (ed.),Statistical Inference in Dynamic Economic Models,1950,0,0,0.0,,
Kuznets - Capital in the American Economy (Book 1961).pdf,Textbooks/Academic/Foundational/Kuznets - Capital in the American Economy (Book 1961).pdf,Kuznets,Capital in the American Economy,1961,4,2,0.3333,"expected return(2), dcf(1), opportunity cost(1)","accretive/accretion(1), earning power(1)"
Lange - Price Flexibility and Employment (Book 1944).pdf,Textbooks/Academic/Foundational/Lange - Price Flexibility and Employment (Book 1944).pdf,Lange,Price Flexibility and Employment,1944,33,10,0.5349,"risk premium(17), discounted value(14), perfect capital markets(1), present value(1)","earning power(4), eps(3), traditional theory(2), rate of return(1)"
Lindahl - Studies in the Theory of Money and Capital (Book 1939).pdf,Textbooks/Academic/Foundational/Lindahl - Studies in the Theory of Money and Capital (Book 1939).pdf,Lindahl,Studies in the Theory of Money and Capital,1939,5,12,-0.4118,"discounted value(4), present value(1)","earning capacity(5), book value(4), return on capital(1), relative valuation(1), rate of return(1)"
"Macaulay, Frederick R. - Movements of Interest Rates Bond Yields and Stock Prices (Book 1938).pdf","Textbooks/Academic/Foundational/Macaulay, Frederick R. - Movements of Interest Rates Bond Yields and Stock Prices (Book 1938).pdf","Macaulay, Frederick R.",Movements of Interest Rates Bond Yields and Stock Prices,1938,43,23,0.303,"present value(42), expected return(1)","per share(15), roe(6), earnings per share(1), margin of safety(1)"
"Marschak, Radner - Economic Theory of Teams (Book 1972).pdf","Textbooks/Academic/Foundational/Marschak, Radner - Economic Theory of Teams (Book 1972).pdf","Marschak, Radner",Economic Theory of Teams,1972,3,1,0.5,markowitz(3),eps(1)
"Marshall, Alfred - Principles of Economics (Book 1890).pdf","Textbooks/Academic/Foundational/Marshall, Alfred - Principles of Economics (Book 1890).pdf","Marshall, Alfred",Principles of Economics,1890,5,4,0.1111,"present value(3), discounted value(2)","eps(2), roe(2)"
"Marshall, Alfred - Principles of Economics 8th ed (Book 1920).pdf","Textbooks/Academic/Foundational/Marshall, Alfred - Principles of Economics 8th ed (Book 1920).pdf","Marshall, Alfred",Principles of Economics 8th ed,1920,8,17,-0.36,"discounted value(4), present value(3), opportunity cost(1)","earning power(12), per share(2), rate of return(2), intrinsic value(1)"
Marx - Capital Vol 1 (Book 1867).pdf,Textbooks/Academic/Foundational/Marx - Capital Vol 1 (Book 1867).pdf,Marx,Capital Vol 1,1867,0,3,-1.0,,intrinsic value(3)
Marx - Capital Volume I (Book 1867).pdf,Textbooks/Academic/Foundational/Marx - Capital Volume I (Book 1867).pdf,Marx,Capital Volume I,1867,0,3,-1.0,,intrinsic value(3)
Marx - Capital Volume II (Book 1885).pdf,Textbooks/Academic/Foundational/Marx - Capital Volume II (Book 1885).pdf,Marx,Capital Volume II,1885,1,2,-0.3333,present value(1),"accretive/accretion(1), intrinsic value(1)"
Marx - Capital Volume III (Book 1894).pdf,Textbooks/Academic/Foundational/Marx - Capital Volume III (Book 1894).pdf,Marx,Capital Volume III,1894,0,5,-1.0,,"intrinsic value(3), accretive/accretion(2)"
Menger - Principles of Economics (Book 1871).pdf,Textbooks/Academic/Foundational/Menger - Principles of Economics (Book 1871).pdf,Menger,Principles of Economics,1871,11,1,0.8333,"present value(7), opportunity cost(2), risk premium(2)",relative valuation(1)
Minsky - John Maynard Keynes (Book 1975).pdf,Textbooks/Academic/Foundational/Minsky - John Maynard Keynes (Book 1975).pdf,Minsky,John Maynard Keynes,1975,7,23,-0.5333,"present value(5), perfect capital markets(2)","capitalization rate(17), rate of return(4), accretive/accretion(2)"
Minsky - Stabilizing an Unstable Economy (Book 1986).pdf,Textbooks/Academic/Foundational/Minsky - Stabilizing an Unstable Economy (Book 1986).pdf,Minsky,Stabilizing an Unstable Economy,1986,35,76,-0.3694,"present value(28), contingent claim(6), sunk cost(1)","margin of safety(25), book value(21), capitalization rate(15), per share(5), rate of return(3)"
Mitchell - Business Cycles The Problem and Its Setting (Book 1928).pdf,Textbooks/Academic/Foundational/Mitchell - Business Cycles The Problem and Its Setting (Book 1928).pdf,Mitchell,Business Cycles The Problem and Its Setting,1928,0,0,0.0,,
Mitchell - Business Cycles Vol I (Book 1927).pdf,Textbooks/Academic/Foundational/Mitchell - Business Cycles Vol I (Book 1927).pdf,Mitchell,Business Cycles Vol I,1927,0,4,-1.0,,"roe(2), earning capacity(2)"
Mosak - General Equilibrium Theory in International Trade (Book 1944).pdf,Textbooks/Academic/Foundational/Mosak - General Equilibrium Theory in International Trade (Book 1944).pdf,Mosak,General Equilibrium Theory in International Trade,1944,19,4,0.6522,"present value(10), risk premium(5), discounted value(4)","traditional theory(3), rate of return(1)"
Musgrave - The Theory of Public Finance (Book 1959).pdf,Textbooks/Academic/Foundational/Musgrave - The Theory of Public Finance (Book 1959).pdf,Musgrave,The Theory of Public Finance,1959,40,68,-0.2593,"present value(20), opportunity cost(14), discounted value(4), present worth(2)","accretive/accretion(53), rate of return(9), par value(2), per share(1), return on capital(1)"
Nordhaus - The Efficient Use of Energy Resources (Book 1979).pdf,Textbooks/Academic/Foundational/Nordhaus - The Efficient Use of Energy Resources (Book 1979).pdf,Nordhaus,The Efficient Use of Energy Resources,1979,29,9,0.5263,"discounted value(11), present value(9), efficient market(6), opportunity cost(3)","rate of return(8), return on capital(1)"
"Pareto, Vilfredo - Manuale di economia politica (Book 1906).pdf","Textbooks/Academic/Foundational/Pareto, Vilfredo - Manuale di economia politica (Book 1906).pdf","Pareto, Vilfredo",Manuale di economia politica,1906,0,0,0.0,,
"Pascal, Blaise - Pensees (Book 1670).pdf","Textbooks/Academic/Foundational/Pascal, Blaise - Pensees (Book 1670).pdf","Pascal, Blaise",Pensees,1670,0,0,0.0,,
"Perry, Arthur Latham - Principles of Political Economy (Book 1891).pdf","Textbooks/Academic/Foundational/Perry, Arthur Latham - Principles of Political Economy (Book 1891).pdf","Perry, Arthur Latham",Principles of Political Economy,1891,3,5,-0.25,present value(3),"accretive/accretion(3), intrinsic value(1), par value(1)"
"Petty, William - Political Arithmetick (Book 1690).pdf","Textbooks/Academic/Foundational/Petty, William - Political Arithmetick (Book 1690).pdf","Petty, William",Political Arithmetick,1690,0,0,0.0,,
Pierry - General Theory of Value (Book 1926).pdf,Textbooks/Academic/Foundational/Pierry - General Theory of Value (Book 1926).pdf,Pierry,General Theory of Value,1926,0,7,-1.0,,"intrinsic value(4), roe(2), earning capacity(1)"
Pigou - The Economics of Welfare (Book 1920).pdf,Textbooks/Academic/Foundational/Pigou - The Economics of Welfare (Book 1920).pdf,Pigou,The Economics of Welfare,1920,11,13,-0.0833,"present value(10), present worth(1)","accretive/accretion(5), rate of return(5), per share(1), earning power(1), par value(1)"
Ricardo - On the Principles of Political Economy and Taxation (Book 1821).pdf,Textbooks/Academic/Foundational/Ricardo - On the Principles of Political Economy and Taxation (Book 1821).pdf,Ricardo,On the Principles of Political Economy and Taxation,1821,3,5,-0.25,"present value(2), expected return(1)","intrinsic value(4), rate of return(1)"
Ricardo - Principles of Political Economy and Taxation (Book 1817).pdf,Textbooks/Academic/Foundational/Ricardo - Principles of Political Economy and Taxation (Book 1817).pdf,Ricardo,Principles of Political Economy and Taxation,1817,0,0,0.0,,
Ricardo J. Caballero - Hedging sudden stops & precautionary contractions (Book 2005).pdf,Textbooks/Academic/Foundational/Ricardo J. Caballero - Hedging sudden stops & precautionary contractions (Book 2005).pdf,Ricardo J. Caballero,Hedging sudden stops & precautionary contractions,2005,21,2,0.8261,"risk premium(13), present value(2), net present value(2), factor model(1), random walk(1)",p/e ratio(2)
Roos - Dynamic Economics (Book 1934).pdf,Textbooks/Academic/Foundational/Roos - Dynamic Economics (Book 1934).pdf,Roos,Dynamic Economics,1934,6,4,0.2,"present value(5), risk premium(1)","return on capital(2), dilutive/dilution(1), rate of return(1)"
Roos - NRA Economic Planning (Book 1937).pdf,Textbooks/Academic/Foundational/Roos - NRA Economic Planning (Book 1937).pdf,Roos,NRA Economic Planning,1937,1,10,-0.8182,present worth(1),"return on capital(4), book value(4), earning power(1), earning capacity(1)"
Rostow - The Stages of Economic Growth (Book 1960).pdf,Textbooks/Academic/Foundational/Rostow - The Stages of Economic Growth (Book 1960).pdf,Rostow,The Stages of Economic Growth,1960,0,1,-1.0,,dilutive/dilution(1)
Rothenberg - Efficient Estimation with A Priori Information (Book 1973).pdf,Textbooks/Academic/Foundational/Rothenberg - Efficient Estimation with A Priori Information (Book 1973).pdf,Rothenberg,Efficient Estimation with A Priori Information,1973,1,1,0.0,mean-variance(1),traditional theory(1)
Rudin - Principles of Mathematical Analysis (Book 1976).pdf,Textbooks/Academic/Foundational/Rudin - Principles of Mathematical Analysis (Book 1976).pdf,Rudin,Principles of Mathematical Analysis,1976,1,0,1.0,sml(1),
Samuelson - Foundations of Economic Analysis (Book 1947).pdf,Textbooks/Academic/Foundational/Samuelson - Foundations of Economic Analysis (Book 1947).pdf,Samuelson,Foundations of Economic Analysis,1947,10,1,0.8182,"opportunity cost(7), mean-variance(1), random walk(1), discounted value(1)",book value(1)
Savage - The Foundations of Statistics (Book 1972).pdf,Textbooks/Academic/Foundational/Savage - The Foundations of Statistics (Book 1972).pdf,Savage,The Foundations of Statistics,1972,4,1,0.6,markowitz(4),earning power(1)
Savage - The Foundations of Statistics 2nd ed (Book 1972).pdf,Textbooks/Academic/Foundational/Savage - The Foundations of Statistics 2nd ed (Book 1972).pdf,Savage,The Foundations of Statistics 2nd ed,1972,4,1,0.6,markowitz(4),earning power(1)
Scarf - Computation of Economic Equilibria (Book 1973).pdf,Textbooks/Academic/Foundational/Scarf - Computation of Economic Equilibria (Book 1973).pdf,Scarf,Computation of Economic Equilibria,1973,1,0,1.0,present value(1),
Schumpeter - Capitalism Socialism and Democracy (Book 1942).pdf,Textbooks/Academic/Foundational/Schumpeter - Capitalism Socialism and Democracy (Book 1942).pdf,Schumpeter,Capitalism Socialism and Democracy,1942,2,6,-0.5,"opportunity cost(1), discounted value(1)","traditional theory(3), book value(1), intrinsic value(1), rate of return(1)"
Scott Williamson - The moral hazard theory of corporate financial structure (Book 1979).pdf,Textbooks/Academic/Foundational/Scott Williamson - The moral hazard theory of corporate financial structure (Book 1979).pdf,Scott Williamson,The moral hazard theory of corporate financial structure,1979,54,18,0.5,"present value(22), tax shield(12), net present value(8), agency cost(3), interest tax shield(2)","book value(6), optimal capital structure(5), traditional theory(3), debt capacity(3), rate of return(1)"
Shackle - Expectations in Economics (Book 1949).pdf,Textbooks/Academic/Foundational/Shackle - Expectations in Economics (Book 1949).pdf,Shackle,Expectations in Economics,1949,3,1,0.5,"present value(2), opportunity cost(1)",traditional theory(1)
Smith - The Wealth of Nations (Book 1776).pdf,Textbooks/Academic/Foundational/Smith - The Wealth of Nations (Book 1776).pdf,Smith,The Wealth of Nations,1776,0,6,-1.0,,"intrinsic value(5), per share(1)"
Stanley M. Beck - Capital markets regulation (307S) (Book 1993).pdf,Textbooks/Academic/Foundational/Stanley M. Beck - Capital markets regulation (307S) (Book 1993).pdf,Stanley M. Beck,Capital markets regulation (307S),1993,1,0,1.0,efficient market(1),
"Tawney, R. H. - The Acquisitive Society (Book 1920).pdf","Textbooks/Academic/Foundational/Tawney, R. H. - The Acquisitive Society (Book 1920).pdf","Tawney, R. H.",The Acquisitive Society,1920,0,0,0.0,,
Thomas Robert Malthus - The measure of value stated and illustrated (Book 1823).pdf,Textbooks/Academic/Foundational/Thomas Robert Malthus - The measure of value stated and illustrated (Book 1823).pdf,Thomas Robert Malthus,The measure of value stated and illustrated,1823,1,0,1.0,present value(1),
Tintner - The Variate Difference Method (Book 1940).pdf,Textbooks/Academic/Foundational/Tintner - The Variate Difference Method (Book 1940).pdf,Tintner,The Variate Difference Method,1940,0,0,0.0,,
Tirole - The Theory of Industrial Organization (Book 1988).pdf,Textbooks/Academic/Foundational/Tirole - The Theory of Industrial Organization (Book 1988).pdf,Tirole,The Theory of Industrial Organization,1988,55,4,0.8644,"discounted value(17), sunk cost(13), efficient market(11), signaling model(10), opportunity cost(1)","rate of return(2), roe(1), dilutive/dilution(1)"
Tostlebe - Capital in Agriculture (Book 1957).pdf,Textbooks/Academic/Foundational/Tostlebe - Capital in Agriculture (Book 1957).pdf,Tostlebe,Capital in Agriculture,1957,13,71,-0.6905,"mean-variance(6), markowitz(2), risk premium(2), present value(1), opportunity cost(1)","rate of return(33), book value(28), return on capital(9), average rate of return(1)"
"Trenchant, Jean - L'Arithmetique (Book 1602).pdf","Textbooks/Academic/Foundational/Trenchant, Jean - L'Arithmetique (Book 1602).pdf","Trenchant, Jean",L'Arithmetique,1602,0,1,-1.0,,roe(1)
Turgot - Reflections on the Formation and Distribution of Riches (Book 1766).pdf,Textbooks/Academic/Foundational/Turgot - Reflections on the Formation and Distribution of Riches (Book 1766).pdf,Turgot,Reflections on the Formation and Distribution of Riches,1766,0,0,0.0,,
Ulmer - Capital in Transportation Communications and Public Utilities (Book 1960).pdf,Textbooks/Academic/Foundational/Ulmer - Capital in Transportation Communications and Public Utilities (Book 1960).pdf,Ulmer,Capital in Transportation Communications and Public Utilities,1960,8,22,-0.4667,"present value(6), discounted cash flow(1), opportunity cost(1)","rate of return(9), book value(6), return on capital(3), accretive/accretion(2), earning power(1)"
Veblen - The Theory of Business Enterprise (Book 1904).pdf,Textbooks/Academic/Foundational/Veblen - The Theory of Business Enterprise (Book 1904).pdf,Veblen,The Theory of Business Enterprise,1904,0,88,-1.0,,"earning capacity(84), accretive/accretion(2), earning power(1), par value(1)"
Veblen - The Theory of the Leisure Class (Book 1924).pdf,Textbooks/Academic/Foundational/Veblen - The Theory of the Leisure Class (Book 1924).pdf,Veblen,The Theory of the Leisure Class,1924,0,2,-1.0,,earning capacity(2)
Viner - Studies in the Theory of International Trade (Book 1937).pdf,Textbooks/Academic/Foundational/Viner - Studies in the Theory of International Trade (Book 1937).pdf,Viner,Studies in the Theory of International Trade,1937,51,18,0.4783,"opportunity cost(50), risk premium(1)","intrinsic value(8), earning power(4), return on capital(3), accretive/accretion(2), per share(1)"
Von Mises - Human Action (Book 1949).pdf,Textbooks/Academic/Foundational/Von Mises - Human Action (Book 1949).pdf,Von Mises,Human Action,1949,5,3,0.25,"present value(4), fcf(1)","comps(1), book value(1), par value(1)"
"von Neumann, Morgenstern - Theory of Games and Economic Behavior (Book 1944).pdf","Textbooks/Academic/Foundational/von Neumann, Morgenstern - Theory of Games and Economic Behavior (Book 1944).pdf","von Neumann, Morgenstern",Theory of Games and Economic Behavior,1944,1,0,1.0,present value(1),
"Walras, Leon - Elements d'economie politique pure (Book 1874).pdf","Textbooks/Academic/Foundational/Walras, Leon - Elements d'economie politique pure (Book 1874).pdf","Walras, Leon",Elements d'economie politique pure,1874,1,2,-0.3333,npv(1),comparables(2)
Wicksell - Interest and Prices (Book 1898).pdf,Textbooks/Academic/Foundational/Wicksell - Interest and Prices (Book 1898).pdf,Wicksell,Interest and Prices,1898,0,5,-1.0,,"intrinsic value(3), margin of safety(1), par value(1)"
Williams - The Theory of Investment Value (Book 1938).pdf,Textbooks/Academic/Foundational/Williams - The Theory of Investment Value (Book 1938).pdf,Williams,The Theory of Investment Value,1938,64,260,-0.6049,"present worth(46), present value(9), terminal value(9)","per share(109), book value(44), earning power(28), price-earnings(27), earnings per share(19)"
"Alexander, Gordon J. - Fundamentals Of Investments (Book 1989).pdf","Textbooks/Academic/Investments/Alexander, Gordon J. - Fundamentals Of Investments (Book 1989).pdf","Alexander, Gordon J.",Fundamentals Of Investments,1989,71,97,-0.1548,"efficient market(18), present value(12), expected return(10), factor model(8), portfolio theory(4)","per share(74), rate of return(16), price-earnings(3), return on capital(2), earnings per share(1)"
"Amling, Frederick - Investments An Introduction to Analysis and Management (Book 1965).pdf","Textbooks/Academic/Investments/Amling, Frederick - Investments An Introduction to Analysis and Management (Book 1965).pdf","Amling, Frederick",Investments An Introduction to Analysis and Management,1965,37,701,-0.8997,"present value(36), present worth(1)","per share(284), earnings per share(117), price-earnings(94), earning power(41), par value(40)"
Andrew - Missed Fortune 101 (Book 2005).pdf,Textbooks/Academic/Investments/Andrew - Missed Fortune 101 (Book 2005).pdf,Andrew,Missed Fortune 101,2005,4,101,-0.9238,"opportunity cost(3), free cash flow(1)","rate of return(98), return on equity(2), average rate of return(1)"
Andrew D. Seidel - Commodities trading (Book 1983).pdf,Textbooks/Academic/Investments/Andrew D. Seidel - Commodities trading (Book 1983).pdf,Andrew D. Seidel,Commodities trading,1983,0,0,0.0,,
Annette Thau - The Bond Book (Book 1991).pdf,Textbooks/Academic/Investments/Annette Thau - The Bond Book (Book 1991).pdf,Annette Thau,The Bond Book,1991,22,96,-0.6271,"present value(15), time value of money(4), opportunity cost(2), random walk(1)","per share(25), dividend yield(24), par value(19), rate of return(19), coverage ratio(4)"
Arrow - Aspects of the Theory of Risk-Bearing (Book 1965).pdf,Textbooks/Academic/Investments/Arrow - Aspects of the Theory of Risk-Bearing (Book 1965).pdf,Arrow,Aspects of the Theory of Risk-Bearing,1965,1,0,1.0,present value(1),
Bayard Taylor Hainer - A treatise on the modern law of municipal securities (Book 1898).pdf,Textbooks/Academic/Investments/Bayard Taylor Hainer - A treatise on the modern law of municipal securities (Book 1898).pdf,Bayard Taylor Hainer,A treatise on the modern law of municipal securities,1898,0,8,-1.0,,"par value(6), per share(1), roe(1)"
Bernstein - The Investors Manifesto (Book 2010).pdf,Textbooks/Academic/Investments/Bernstein - The Investors Manifesto (Book 2010).pdf,Bernstein,The Investors Manifesto,2010,106,34,0.5143,"expected return(32), risk premium(23), markowitz(9), emh(8), mean-variance(7)","per share(13), dividend yield(8), dilutive/dilution(5), intrinsic value(4), rate of return(2)"
Board of Governors of the Federal Reserve System (U.S.) - Joint Treasury-Federal Reserve study of the U. S. Government securities market (Book 1970).pdf,Textbooks/Academic/Investments/Board of Governors of the Federal Reserve System (U.S.) - Joint Treasury-Federal Reserve study of the U. S. Government securities market (Book 1970).pdf,Board of Governors of the Federal Reserve System (U.S.),Joint Treasury-Federal Reserve study of the U. S. Government securities market,1970,1,1,0.0,efficient market(1),run-rate(1)
"Bodie, Kane, Marcus - Investments (Book 2014).pdf","Textbooks/Academic/Investments/Bodie, Kane, Marcus - Investments (Book 2014).pdf","Bodie, Kane, Marcus",Investments,2014,2815,1803,0.2191,"expected return(467), risk premium(405), capm(324), present value(177), efficient market(134)","rate of return(478), per share(235), p/e ratio(211), roe(190), par value(150)"
Bolton Hall - Thrift (Book 1916).pdf,Textbooks/Academic/Investments/Bolton Hall - Thrift (Book 1916).pdf,Bolton Hall,Thrift,1916,1,3,-0.5,present value(1),"per share(1), earning power(1), margin of safety(1)"
Boston Municipal Research Bureau - Boston's fy00 budget (Book 1999).pdf,Textbooks/Academic/Investments/Boston Municipal Research Bureau - Boston's fy00 budget (Book 1999).pdf,Boston Municipal Research Bureau,Boston's fy00 budget,1999,0,0,0.0,,
Brealey - An Introduction to Risk and Return from Common Stocks (Book 1969).pdf,Textbooks/Academic/Investments/Brealey - An Introduction to Risk and Return from Common Stocks (Book 1969).pdf,Brealey,An Introduction to Risk and Return from Common Stocks,1969,71,20,0.5604,"random walk(37), terminal value(13), expected return(11), risk premium(5), portfolio theory(2)","price-earnings(8), earnings per share(4), per share(4), return on equity(1), roe(1)"
Brennan - Patterns of Market Behavior (Book 1965).pdf,Textbooks/Academic/Investments/Brennan - Patterns of Market Behavior (Book 1965).pdf,Brennan,Patterns of Market Behavior,1965,26,48,-0.2973,"expected return(14), present value(6), opportunity cost(6)","rate of return(37), return on capital(10), roe(1)"
Briston - The Stock Exchange and Investment Analysis (Book 1970).pdf,Textbooks/Academic/Investments/Briston - The Stock Exchange and Investment Analysis (Book 1970).pdf,Briston,The Stock Exchange and Investment Analysis,1970,116,222,-0.3136,"present value(49), random walk(24), net present value(9), opportunity cost(9), markowitz(8)","per share(49), dividend yield(42), book value(31), earnings yield(21), rate of return(17)"
Brooks - The Go-Go Years (Book 1973).pdf,Textbooks/Academic/Investments/Brooks - The Go-Go Years (Book 1973).pdf,Brooks,The Go-Go Years,1973,2,25,-0.8519,"efficient market(1), pecking order(1)","per share(11), price-to-earnings(5), earnings per share(4), dilutive/dilution(2), book value(1)"
Browne - The Little Book of Value Investing (Book 2007).pdf,Textbooks/Academic/Investments/Browne - The Little Book of Value Investing (Book 2007).pdf,Browne,The Little Book of Value Investing,2007,4,201,-0.961,"free cash flow(2), efficient market(2)","book value(67), per share(25), intrinsic value(25), margin of safety(21), earnings per share(10)"
Bruce Robert Kuhlman - Convertible bond issues and equity price impacts (Book 1988).pdf,Textbooks/Academic/Investments/Bruce Robert Kuhlman - Convertible bond issues and equity price impacts (Book 1988).pdf,Bruce Robert Kuhlman,Convertible bond issues and equity price impacts,1988,24,11,0.3714,"tax shield(12), event study(3), interest tax shield(2), modigliani and miller(1), present value(1)","per share(5), optimal capital structure(3), book value(2), dilutive/dilution(1)"
Burton M. Woodward - The Dow theory and the management of investments (Book 1968).pdf,Textbooks/Academic/Investments/Burton M. Woodward - The Dow theory and the management of investments (Book 1968).pdf,Burton M. Woodward,The Dow theory and the management of investments,1968,6,7,-0.0769,random walk(6),"book value(4), per share(2), intrinsic value(1)"
"Burton, Corner - Investment and Unit Trusts in Britain and America (Book 1968).pdf","Textbooks/Academic/Investments/Burton, Corner - Investment and Unit Trusts in Britain and America (Book 1968).pdf","Burton, Corner",Investment and Unit Trusts in Britain and America,1968,0,0,0.0,,
"Campbell, Lo, MacKinlay - The Econometrics of Financial Markets (Book 1997).pdf","Textbooks/Academic/Investments/Campbell, Lo, MacKinlay - The Econometrics of Financial Markets (Book 1997).pdf","Campbell, Lo, MacKinlay",The Econometrics of Financial Markets,1997,382,47,0.7809,"random walk(77), capm(56), expected return(48), black-scholes(45), event study(30)","p/e ratio(30), per share(4), price-earnings(3), dividend yield(3), return on capital(2)"
Castelli - The Theory of Options in Stocks and Shares (Book 1877).pdf,Textbooks/Academic/Investments/Castelli - The Theory of Options in Stocks and Shares (Book 1877).pdf,Castelli,The Theory of Options in Stocks and Shares,1877,0,0,0.0,,
CFA Research Seminar - Investment Company Portfolio Management (Book 1970).pdf,Textbooks/Academic/Investments/CFA Research Seminar - Investment Company Portfolio Management (Book 1970).pdf,CFA Research Seminar,Investment Company Portfolio Management,1970,5,63,-0.8529,markowitz(5),"rate of return(19), per share(17), earnings per share(12), dividend yield(7), price-earnings(6)"
"Charles Y. Mann - Convertible bond call, call delay, and the value of call underwriting (Book 1994).pdf","Textbooks/Academic/Investments/Charles Y. Mann - Convertible bond call, call delay, and the value of call underwriting (Book 1994).pdf",Charles Y. Mann,"Convertible bond call, call delay, and the value of call underwriting",1994,42,21,0.3333,"free cash flow(22), agency cost(7), tax shield(6), event study(2), npv(1)","dividend yield(7), per share(5), eps(4), earnings per share(3), rate of return(2)"
Clendenin - Introduction to Investments (Book 1969).pdf,Textbooks/Academic/Investments/Clendenin - Introduction to Investments (Book 1969).pdf,Clendenin,Introduction to Investments,1969,56,637,-0.8384,"present value(47), random walk(5), markowitz(3), discounted value(1)","per share(245), earning power(120), price-earnings(74), earnings per share(65), book value(37)"
Cohen - Investment Analysis and Portfolio Management (Book 1967).pdf,Textbooks/Academic/Investments/Cohen - Investment Analysis and Portfolio Management (Book 1967).pdf,Cohen,Investment Analysis and Portfolio Management,1967,78,589,-0.7661,"present value(44), markowitz(16), random walk(9), terminal value(3), expected return(2)","per share(218), rate of return(79), price-earnings(74), earnings per share(43), earning power(33)"
Courtney Smith - Commodity spreads (Book 1982).pdf,Textbooks/Academic/Investments/Courtney Smith - Commodity spreads (Book 1982).pdf,Courtney Smith,Commodity spreads,1982,0,0,0.0,,
